LOINC_NUM,COMPONENT
95478-4,Has a friend or relative or anyone else ever expressed concern about your use of prescription opioids
95479-2,Has a friend or relative or anyone else ever expressed concern about your use of other substances
954-8,C little e Ag
95480-0,Other substances that have caused a friend or relative or anyone else to ever express concern about your use of other substances
95481-8,Substances that have caused a friend or relative or anyone else to ever express concern about your use
95482-6,"Have you ever tried and failed to control, cut down or stop using cannabis"
95483-4,"Have you ever tried and failed to control, cut down or stop using cocaine"
95484-2,"Have you ever tried and failed to control, cut down or stop using prescribed Amphetamine type stimulants"
95485-9,"Have you ever tried and failed to control, cut down or stop using methamphetamine"
95486-7,"Have you ever tried and failed to control, cut down or stop using inhalants"
95487-5,"Have you ever tried and failed to control, cut down or stop using sedatives or sleeping pills"
95488-3,"Have you ever tried and failed to control, cut down or stop using hallucinogens"
Sep-48,Legionella pneumophila 4 Ab.IgG
95489-1,"Have you ever tried and failed to control, cut down or stop using street opioids"
95490-9,"Have you ever tried and failed to control, cut down or stop using prescription opioids"
95491-7,"Have you ever tried and failed to control, cut down or stop using other substances"
95492-5,Injection drug use
95493-3,Cannabis substance involvement score
95494-1,Substances used during the past 3Mo
95495-8,Other substances used during the past 3Mo
95496-6,Other substances that you have had a strong desire or urge to use in the past 3Mo
Jul-49,Legionella pneumophila 4 Ab.IgM
95497-4,"Other substances that have led to health, social, legal or financial problems in the past 3Mo"
95498-2,Other substances that have caused you to fail to do what was normally expected of you in the past 3Mo
95499-0,"Other substances that you have ever tried and failed to control, cut down or stop using"
95500-5,Substances you have had a strong desire or urge to use during the past 3Mo
95501-3,"Substances that have led to health, social, legal or financial problems during the past 3Mo"
95502-1,Substances that have caused you to fail to do what was normally expected of you during the past 3Mo
95503-9,"Substances that you have ever tried and failed to control, cut down or stop using"
95504-7,Cocaine substance involvement score
May-50,Legionella pneumophila 5 Ab.IgG
95505-4,Prescription stimulants substance involvement score
95506-2,Methamphetamine substance involvement score
95507-0,Inhalants substance involvement score
95508-8,Sedatives or sleeping pills substance involvement score
95509-6,Hallucinogens substance involvement score
95510-4,Street opioids substance involvement score
95511-2,Prescription opioids substance involvement score
95512-0,Other substance involvement score
Mar-51,Legionella pneumophila 5 Ab.IgM
95513-8,NIDA-Modified ASSIST version 2.0
95514-6,Refractive index
95515-3,Angiotensin II & angiotensin (1-7) panel
95516-1,Angiotensin (1-7)
95520-3,Note
Jan-52,Legionella pneumophila 6 Ab.IgG
95521-1,SARS coronavirus 2 N gene
95522-9,SARS coronavirus 2 N gene
95523-7,HIV 1 & 2 Ab panel
95524-5,HIV 1 & 2 Ab
95525-2,Chromium & cobalt panel
95526-0,Chromium
95527-8,Cytomegalovirus Ab.IgG
95528-6,NIDA Quick Screen
95529-4,Tobacco use in the past 1Y
95530-2,Prescription drug use for non-medical reasons in the past 1Y
95531-0,Illegal drug use in the past 1Y
95532-8,Human papilloma virus high-risk genotypes panel
95533-6,Human papilloma virus 56+59+66 DNA
95534-4,Human papilloma virus 52 DNA
95535-1,Human papilloma virus 51 DNA
95536-9,Human papilloma virus 45 DNA
95537-7,Human papilloma virus 35+39+68 DNA
95538-5,Human papilloma virus 33+58 DNA
Sep-53,Legionella pneumophila 6 Ab.IgM
95539-3,Human papilloma virus 31 DNA
95540-1,Bacterial carbapenem resistance blaIMP+blaVIM genes
95541-9,Care experience preference
95542-7,SARS coronavirus 2 Ab
95543-5,Aspergillus terreus Ab.IgG
95544-3,HTLV I DNA
95545-0,Loprazolam
95546-8,Diabetes 8Y risk
Jul-54,Cells.CD10
95547-6,Patient is being treated for high blood pressure
95548-4,Cardiovascular disease 10Y risk goal
95549-2,Cardiovascular disease lifetime risk
955-5,C super little w Ab
95550-0,ABL1 gene.c.944C>T
95551-8,Chromosome region 17p11.2 deletion
95552-6,4p16.3 chromosome deletion
95553-4,5p15.2 chromosome deletion
Apr-55,Cells.CD11c
95554-2,Pancreatic exocrine cell Ab
95555-9,F7 gene.p.Arg353Gln
95556-7,Adrenal cancer risk assessment & urine steroid fractions panel
95557-5,Detection basis
95558-3,CT attenuation of mass
95559-1,Evidence of adrenal cortical hormone excess
95560-9,Androsterone
95561-7,Etiocholanolone
Feb-56,Cells.CD11c+20c+
95562-5,Dehydroepiandrosterone
95563-3,16-Alpha hydroxydehydroepiandrosterone
95564-1,16-Alpha hydroxydehydroepiandrosterone
95565-8,5-Pregnenetriol
95566-6,5-Pregnenetriol
95567-4,5-Pregnenediol
95568-2,5-Pregnenediol
95569-0,Tetrahydro-11-corticosterone
9557-0,Cells.CD2
95570-8,Tetrahydro-11-corticosterone
95571-6,11-Deoxytetrahydrocorticosterone
95572-4,11-Deoxytetrahydrocorticosterone
95573-2,Pregnanediol
95574-0,17 alpha-Hydroxypregnanolone
95575-7,17 alpha-Hydroxypregnanolone
95576-5,Pregnanetriol
95577-3,Pregnanetriolone
95578-1,Tetrahydrodeoxycortisol
95579-9,Cortisol
95580-7,6-Beta-Hydroxycortisol
95581-5,Tetrahydrocortisol
95582-3,5-Alpha tetrahydrocortisol
95583-1,Beta cortol
95584-9,11-Hydroxyandrosterone
95585-6,11-Hydroxyetiocholanolone
95586-4,Cortisone
95587-2,Tetrahydrocortisone
Aug-58,Cells.CD20
95588-0,Alpha cortolone
95589-8,Beta cortolone
95590-6,Beta cortolone
95591-4,11-Ketoetiocholanolone
95592-2,Note
95593-0,Ercalcidiol
95594-8,Calcidiol
95595-5,Calcidiol+ercalcidiol
Jun-59,Cells.CD5
95596-3,Purkinje cell cytoplasmic type Tr Ab
95597-1,Gelatinous bodies
95598-9,Mucus strands
95599-7,Dipeptidyl aminopeptidase-like protein 6 Ab
95600-3,Contactin-associated protein 2 Ab
95601-1,Leucine-rich glioma-inactivated protein 1 Ab
95602-9,Gamma aminobutyrate B receptor Ab
95603-7,Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 2 Ab
Apr-60,Lymphocytes.CD5
95604-5,Alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionate receptor 1 Ab
95605-2,N-methyl-D-aspartate receptor subunit 1 Ab
95606-0,Stress level - 0-10 numeric rating
95607-8,Sleep quality - 1-5 numeric rating
95608-6,SARS coronavirus 2 RNA
95609-4,SARS coronavirus 2 S gene
95610-2,Views complete
95611-0,Views occlusal
Feb-61,Cells.CD5+CD19+
95612-8,Views
95613-6,Unpaid caregiver relationship
95614-4,Total score
95615-1,Scream or curse at you
95616-9,Threaten you with physical harm
95617-7,Insult you or talk down to you
95618-5,Physically hurt you
95619-3,"Hurts, insults, threatens, and screams"
9562-0,Lymphocytes.CD5+CD19+
95620-1,"Neonatal pain, agitation, & sedation scale panel"
95621-9,Pain &or agitation panel
95622-7,Pain &or agitation severity.crying or irritability
95623-5,Pain &or agitation severity.behavior state
95624-3,Pain &or agitation severity.facial expression
95625-0,Pain &or agitation severity.extremities tone
95626-8,Pain &or agitation severity.vital signs variability
95627-6,Pain &or agitation total score
95628-4,Pain &or agitation severity level
95629-2,Sedation panel
956-3,C super little w Ab
95630-0,Sedation level.crying or irritability
95631-8,Sedation level.behavior state
95632-6,Sedation level.facial expression
95633-4,Sedation level.extremities tone
95634-2,Sedation level.vital signs variability
95635-9,Sedation total score
95636-7,Sedation level
95637-5,Jamestown Canyon virus Ab.Neut
Aug-63,Cells.CD7
95638-3,California encephalitis virus Ab.Neut
95639-1,Cache Valley virus Ab.Neut
95640-9,Colorado tick fever virus Ab.Neut
95641-7,Barmah forest virus Ab.Neut
95642-5,Snowshoe hare virus Ab.Neut
95643-3,Tahyna virus Ab.Neut
95644-1,Japanese encephalitis virus Ab.Neut
95645-8,Murray Valley encephalitis virus Ab.Neut
Jun-64,Lymphocytic choriomeningitis virus Ab
95646-6,Ross River virus Ab.Neut
95647-4,Powassan virus Ab.Neut
95648-2,Sindbis virus Ab.Neut
95649-0,Chikungunya virus Ab.Neut
95650-8,Mayaro virus Ab.Neut
95651-6,Yellow Fever virus Ab.Neut
95652-4,Venezuelan equine encephalitis virus Ab.Neut
Mar-65,Measles virus Ab
95653-2,La Crosse virus Ab.Neut
95654-0,Eastern equine encephalitis virus Ab.Neut
95655-7,Western equine encephalitis virus Ab.Neut
95656-5,Gestational age <30 weeks
95657-3,Flavivirus identified
95658-1,Influenza virus A H7 Eurasia RNA
95659-9,Adenovirus RNA
95660-7,Eastern equine encephalitis virus Ab.IgM
Jan-66,Measles virus Ab.IgG
95661-5,Barmah forest virus Ab.IgG
95662-3,Japanese encephalitis virus Ab.IgA
95663-1,Zika virus Ab.IgG
95664-9,Jamestown Canyon virus Ab.IgG
95665-6,Snowshoe hare virus Ab.IgG
95666-4,Tahyna virus Ab.IgG
95667-2,Japanese encephalitis virus Ab.IgG
95668-0,Highlands J virus Ab.IgG
95669-8,Murray Valley encephalitis virus Ab.IgG
95670-6,Ross River virus Ab.IgG
95671-4,Sindbis virus Ab.IgG
95672-2,Chikungunya virus Ab.IgG
95673-0,Dengue virus 1+2+3+4 Ab.IgG
95674-8,Mayaro virus Ab.IgG
95675-5,Yellow Fever virus Ab.IgG
95676-3,Venezuelan equine encephalitis virus Ab.IgG
95677-1,Saint Louis encephalitis virus Ab.IgG
95678-9,Western equine encephalitis virus Ab.IgG
Sep-67,Mumps virus Ab
95679-7,Barmah forest virus Ab.IgM
95680-5,Snowshoe hare virus Ab.IgM
95681-3,Tahyna virus Ab.IgM
95682-1,Japanese encephalitis virus Ab.IgM
95683-9,Highlands J virus Ab.IgM
95684-7,Murray Valley encephalitis virus Ab.IgM
95685-4,Ross River virus Ab.IgM
95686-2,Sindbis virus Ab.IgM
Jul-68,Neisseria gonorrhoeae Ab
95687-0,Chikungunya virus Ab.IgM
95688-8,Dengue virus 1+2+3+4 Ab.IgM
95689-6,Mayaro virus Ab.IgM
95690-4,Yellow Fever virus Ab.IgM
95691-2,Venezuelan equine encephalitis virus Ab.IgM
95692-0,Saint Louis encephalitis virus Ab.IgM
95693-8,Western equine encephalitis virus Ab.IgM
95694-6,Cache valley virus Ab.IgA
May-69,Nocardia sp Ab.IgG
95695-3,Colorado tick fever virus Ab.IgA
95696-1,Barmah forest virus Ab.IgA
95697-9,Snowshoe hare virus Ab.IgA
95698-7,Tahyna virus Ab.IgA
95699-5,Highlands J virus Ab.IgA
95700-1,Murray Valley encephalitis virus Ab.IgA
95701-9,Ross River virus Ab.IgA
95702-7,Powassan virus Ab.IgA
Mar-70,Para aminobenzoate^6H post 500 mg bentiromide PO
95703-5,West Nile virus Ab.IgA
95704-3,Sindbis virus Ab.IgA
95705-0,Chikungunya virus Ab.IgA
95706-8,Dengue virus Ab.IgA
95707-6,Mayaro virus Ab.IgA
95708-4,Yellow Fever virus Ab.IgA
95709-2,Venezuelan equine encephalitis virus Ab.IgA
957-1,C super little w Ab
95710-0,La Crosse virus Ab.IgA
Jan-71,Parvovirus B19 DNA
95711-8,Saint Louis encephalitis virus Ab.IgA
95712-6,Eastern equine encephalitis virus Ab.IgA
95713-4,Western equine encephalitis virus Ab.IgA
95714-2,Varicella zoster virus Ab.IgG
95715-9,Population group
95716-7,17 alpha-Hydroxylase Ab
95717-5,Barmah forest virus Ab
95718-3,Anion gap 3
95719-1,Flavivirus Ab
95720-9,Glycine receptor Ab
95721-7,Glycine receptor Ab
95722-5,Glycine receptor Ab
95723-3,Glycine receptor Ab
95724-1,Glycine receptor Ab
95725-8,Glycine receptor Ab
95726-6,3-Hydroxy-3-Methylglutaryl-Coenzyme A reductase Ab
95727-4,Name
95728-2,Address
Sep-72,Parvovirus B19 DNA
95729-0,Relationship to decedent
95730-8,Surviving spouse name
95731-6,Maiden name
95732-4,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Self-care - admission performance"
95733-2,"IRF-PAI v3.0, LCDS v4.00 - Bladder and bowel - admission"
95734-0,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Self-care - discharge performance"
95735-7,Bladder continence
95736-5,Bowel continence
Jul-73,Respiratory syncytial virus Ab.IgG
95737-3,Expression of ideas and wants
95738-1,Does the patient use a wheelchair or scooter
95739-9,Indicate the type of wheelchair or scooter used
95740-7,Understanding verbal and non-verbal content
95741-5,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Mobility - admission performance"
95742-3,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Mobility - discharge performance"
95743-1,Memory &or recall ability
95744-9,Hearing.ability to hear
May-74,Respiratory syncytial virus Ab.IgM
95745-6,Vision.ability to see in adequate light
95746-4,Progress note
95747-2,Referral note
95748-0,Education note
95749-8,Initial evaluation note
95750-6,Procedure note
95751-4,Flowsheet
Feb-75,Rotavirus Ab
95752-2,Plan of care note
95753-0,Evaluation note
95754-8,Referral note
95755-5,Initial evaluation note
95756-3,Procedure note
95757-1,Progress note
95758-9,Flowsheet
95759-7,Plan of care note
9576-0,Rubella virus Ab
95760-5,Education note
95761-3,Consultation note
95762-1,Diagnostic study note
95763-9,Evaluation note
95764-7,Candida auris DNA
95765-4,Candida auris DNA
95766-2,Candida auris DNA
95767-0,Cefiderocol
95768-8,Parathyrin.1-84
95769-6,BMPR1A gene deletion+duplication & full mutation analysis
95770-4,GALT gene targeted mutation analysis
95771-2,GATA2 gene full mutation analysis
95772-0,IDH1 gene & IDH2 gene targeted mutation analysis
95773-8,ACADM gene full mutation analysis
95774-6,MSH6 gene deletion+duplication & full mutation analysis
95775-3,HGSNAT gene full mutation analysis
95776-1,GNS gene full mutation analysis
95777-9,ACADS gene full mutation analysis
Aug-77,Saint Louis encephalitis virus Ab
95778-7,TERT gene promotor region targeted mutation analysis
95779-5,TFE3 gene rearrangements
95780-3,TFEB gene rearrangements
95781-1,ATP7B gene full mutation analysis
95782-9,ABCD1 gene full mutation analysis
95783-7,ETV6 gene rearrangements
95784-5,FGFR2 gene rearrangements
95785-2,FOXL2 gene targeted mutation analysis
Jun-78,Saint Louis encephalitis virus Ab
95786-0,Gene XXX mutation analysis limited to known familial mutations
95787-8,Adrenal cortical carcinoma probability
95788-6,Adrenal malignancy other than adrenal cortical carcinoma probability
95789-4,Benign mass probability
95790-2,Adrenal cortical carcinoma probability
95791-0,Adrenal malignancy other than adrenal cortical carcinoma probability
95792-8,Benign mass probability
95793-6,Immunization priority tier
Apr-79,Tetrahydrocorticosterone
95794-4,Adrenal insufficiency emergency action plan
95795-1,HBG1 gene & HBG2 gene full mutation analysis
95796-9,Opioids panel
95797-7,Norfentanyl
95798-5,Normeperidine
95799-3,O-nortramadol
95800-9,Immunoglobulin light chains.free panel
95801-7,Immunoglobulin light chains.free & immunofixation panel
Feb-80,Thyroxine Ab
95802-5,Progress note
95803-3,Note
95804-1,Note
95805-8,Evaluation note
95806-6,Consultation note
95807-4,Chylomicrons
95808-2,Cholesterol & triglyceride & chylomicrons panel
95809-0,Carbapenem resistance genes
9581-0,Western equine encephalitis virus Ab
95810-8,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Functional abilities and goals - discharge"
95811-6,"IRF-PAI v3.0, MDS v1.17.1, 1.17.2 - Functional abilities and goals - admission"
95812-4,"Did the patient have difficulty focusing attention, for example, being easily distractible or having difficulty keeping track of what was being said"
95813-2,Is there evidence of an acute change in mental status from the patient's baseline
95814-0,"Was the patient's thinking disorganized or incoherent, such as rambling or irrelevant conversation, unclear or illogical flow of ideas, or unpredictable switching from subject to subject"
95815-7,Altered level of consciousness
95816-5,Signs and Symptoms of Delirium (from CAM)
95817-3,Oxygen/Gas.total
95818-1,Intravascular mean^during anesthesia
95819-9,Intravascular diastolic^during anesthesia
95820-7,Intravascular systolic^during anesthesia
95821-5,Intravascular mean^during anesthesia
95822-3,Intravascular mean^during anesthesia
95823-1,SARS-related coronavirus E gene
95824-9,SARS coronavirus 2 ORF1ab region
95825-6,SARS coronavirus 2 Ab
95826-4,SARS coronavirus 2 RNA panel
95827-2,Viable CD3 cells/100 cells.CD3
Aug-82,Afipia felis Ab.IgG
95828-0,T cell product characterization panel
95829-8,Viable CD45 cells/100 cells.CD45
95830-6,Hematopoietic progenitor cell product characterization panel
95831-4,Lymphocyte dose in hematopoietic progenitor cell transfusion
95832-2,CD3 dose in hematopoietic progenitor cell transfusion
95833-0,Nucleated cells
95834-8,Mononuclear cells
95835-5,Cells.CD34
Jun-83,Afipia felis Ab.IgM
95836-3,Cells.CD3
95837-1,Mononuclear cell dose in hematopoietic progenitor cell transfusion
95838-9,Nucleated cells.recovered/Nucleated cells.total
95839-7,Mononuclear cells.recovered/Mononuclear cells.total
95840-5,Microscopic exam
95841-3,Monocytes+Macrophages/100 leukocytes
95842-1,Lymphocytes/100 leukocytes
95843-9,Neutrophils/100 leukocytes
Apr-84,Babesia sp Ab.IgG
95844-7,Epithelial cells.squamous
95845-4,Nucleated cells
95846-2,Cell count & Differential panel
95847-0,Somatotropin^90M post dose macimorelin
95848-8,Somatotropin^60M post dose macimorelin
95849-6,Somatotropin^45M post dose macimorelin
95850-4,Somatotropin^30M post dose macimorelin
Jan-85,Babesia sp Ab.IgM
95851-2,Somatotropin post macimorelin stimulation panel
95852-0,LCDS v4.00 - Signs and Symptoms of Delirium (from CAM)
95853-8,LCDS v4.00 - Acute onset and fluctuating course
95854-6,LCDS v4.00 - Cognitive patterns
95855-3,"Did the (abnormal) behavior fluctuate during the day, that is, tend to come and go or increase and decrease in severity"
95856-1,LCDS v4.00 - Altered level of consciousness
95857-9,Level of consciousness - Alert (normal)
95858-7,Level of consciousness - Vigilant or lethargic or stupor or coma
95859-5,LCDS v4.00 - Self-care - admission performance
95860-3,LCDS v4.00 - Self-care - discharge goal
95861-1,LCDS v4.00 - Self-care - discharge performance
95862-9,LCDS v4.00 - Mobility - discharge goal
95863-7,LCDS v4.00 - Bladder and bowel - planned discharge
95864-5,LCDS v4.00 - Active diagnoses
95865-2,LCDS v4.00 - Swallowing &or nutritional status
95866-0,BRIEF health literacy screening tool
95867-8,Help reading hospital materials
95868-6,Difficulty understanding written information about medical condition
Sep-86,Borrelia burgdorferi Ab
95869-4,Problem understanding medical condition
95870-2,Confidence filling out medical forms
95871-0,Total score
95872-8,Brief cognitive assessment tool short form
95873-6,BCAT short form total score
95874-4,BCAT short form memory score
95875-1,Brief anxiety and depression scale
95876-9,Total score
Jul-87,Borrelia burgdorferi 41kD Ab.IgM
95877-7,Depression score
95878-5,Anxiety score
95879-3,Healthcare personnel with known health status
95880-1,"Hospitalizations/100,000 population"
95881-9,Laboratory test results reported
95882-7,Positive laboratory test results reported
95883-5,Positive laboratory test results reported/Laboratory test results reported
95884-3,Data collected
May-88,Borrelia burgdorferi 18kD Ab.IgG
95885-0,Inpatient beds
95886-8,Inpatient beds occupied
95887-6,Inpatient beds occupied/Inpatient beds
95888-4,Inpatient beds occupied by patients with disease of interest
95889-2,Inpatient beds occupied by patients with disease of interest/Inpatient beds occupied
958-9,C super little w Ag
95890-0,Intensive care unit beds occupied
95891-8,Intensive care unit beds occupied/Intensive care unit beds
95892-6,Healthcare personnel status
Mar-89,Borrelia burgdorferi 23kD Ab.IgG
95893-4,Hospital or facility beds utilization panel
95894-2,"Deaths/100,000 population"
95895-9,Start date
95896-7,Increase or decrease in cases compared to previous reporting period
95897-5,Percent increase or decrease in cases compared to previous reporting period
95898-3,All-cause deaths since start of event
95899-1,Deaths
95900-7,Percent increase or decrease in deaths compared to previous reporting period
Jan-90,Borrelia burgdorferi 28kD Ab.IgG
95901-5,Hospitalizations
95902-3,Hospitalizations
95903-1,Cases among healthcare personnel
95904-9,Cases among healthcare personnel
95905-6,Increase or decrease in cases among healthcare personnel compared to previous reporting period
95906-4,Percent increase or decrease in cases among healthcare personnel compared to previous reporting period
95907-2,Deaths among healthcare personnel
95908-0,Deaths among healthcare personnel
95909-8,Increase or decrease in deaths among healthcare personnel compared to previous reporting period
95910-6,Percent increase or decrease in deaths among healthcare personnel compared to previous reporting period
95911-4,Increase or decrease in deaths compared to previous reporting period
95912-2,Pneumocystis jiroveci DNA
95913-0,Coccidioides sp DNA
95914-8,Blastomyces sp DNA
95915-5,Coccidioides sp DNA
95916-3,Blastomyces sp DNA
95917-1,Histoplasma capsulatum DNA
95918-9,Fungal pathogens panel
Sep-91,Borrelia burgdorferi 30kD Ab.IgG
95919-7,Fungal pathogens panel
95920-5,Galantamine
95921-3,Hydroxychloroquine
95922-1,Tocilizumab
95923-9,Multisection^W stress+W contrast IV
95924-7,Multisection for bone density
95925-4,Multisection for bone density
95926-2,Multisection for bone density
Jul-92,Borrelia burgdorferi 39kD Ab.IgG
95927-0,Multisection for bone density
95928-8,Multisection for bone density
95929-6,Multisection for bone density
95930-4,Pulmonary vasodilator test panel
95931-2,Drug given for pulmonary vasodilator test
95932-0,Pulmonary hypertension
95933-8,Transpulmonary pressure gradient
95934-6,Volume
May-93,Borrelia burgdorferi 41kD Ab.IgG
95935-3,Volume
95936-1,Contractility
95937-9,Pulmonary vasodilation induced
95938-7,Diameter.transverse
95939-5,Length.crown rump
95940-3,Diameter.biparietal
95941-1,Influenza virus A & Influenza virus B & SARS coronavirus 2 & Respiratory syncytial virus RNA panel
95942-9,Influenza virus A & Influenza virus B & SARS coronavirus+SARS coronavirus 2 Ag panel
Mar-94,Borrelia burgdorferi 45kD Ab.IgG
95943-7,"IRF-PAI v3.0 - Hearing, speech, and vision - admission"
95944-5,IRF-PAI v3.0 - Staff assessment for mental status
95945-2,IRF-PAI v3.0 - Swallowing &or nutritional status - admission
95946-0,Usual ability to swallow
95947-8,Alcuronium Ab.IgE
95948-6,Aloe vera Ab.IgE
95949-4,"Glucan 1,4 alpha glucosidase Ab.IgE"
9595-0,Borrelia burgdorferi 58kD Ab.IgG
95950-2,Arnica montana Ab.IgE
95951-0,Azalea spp Ab.IgE
95952-8,Azorubine Ab.IgE
95953-6,(Gentamycin+Lincomycin+Neomycin+Streptomycin+Tobramycin) Ab.IgE
95954-4,Pinus pinea Ab.IgE
95955-1,Butylparaben Ab.IgE
95956-9,Cymbopogon citratus Ab.IgE
95957-7,Aspalathus linearis Ab.IgE
95958-5,Cichorium intybus var foliosum Ab.IgE
95959-3,Scorzonera hispanica Ab.IgE
95960-1,Tetrachlorophthalic anhydride Ab.IgE
95961-9,House dust Japan Ab.IgE
95962-7,(Quercus alba+Quercus rubra+Quercus velutina) Ab.IgE
95963-5,Cydonia oblonga Ab.IgE
95964-3,Ribes uva-crispa Ab.IgE
95965-0,Ethylparaben Ab.IgE
95966-8,Aspergillus glaucus Ab.IgE
95967-6,Freesia spp Ab.IgE
Aug-96,Borrelia burgdorferi 66kD Ab.IgG
95968-4,Gerbera spp Ab.IgE
95969-2,Intensive care unit beds
959-7,C super little w Ag
95970-0,SARS coronavirus 2 specific TCRB gene rearrangements
95971-8,SARS coronavirus 2 stimulated gamma interferon
95972-6,SARS coronavirus 2 stimulated gamma interferon release by T-cells^^corrected for background
95973-4,SARS coronavirus 2 stimulated gamma interferon release by T-cells
95974-2,SARS coronavirus 2 stimulated gamma interferon panel
95975-9,Skindex-16
Jun-97,Borrelia burgdorferi 93kD Ab.IgG
95976-7,Symptom score
95977-5,Emotion score
95978-3,Function score
95979-1,Total score
95980-9,"During the past 1W, how often have you been bothered by your skin condition itching"
95981-7,"During the past 1W, how often have you been bothered by your skin condition burning or stinging"
95982-5,"During the past 1W, how often have you been bothered by your skin condition being irritated"
95983-3,"During the past 1W, how often have you been bothered by the persistence or reoccurrence of your skin condition"
Apr-98,Borrelia burgdorferi 23kD Ab.IgM
95984-1,"During the past 1W, how often have you been bothered by worry about your skin condition"
95985-8,"During the past 1W, how often have you been bothered by the appearance of your skin condition"
95986-6,"During the past 1W, how often have you been bothered by frustration about your skin condition"
95987-4,"During the past 1W, how often have you been bothered by embarrassment about your skin condition"
95988-2,"During the past 1W, how often have you been bothered by being annoyed about your skin condition"
95989-0,"During the past 1W, how often have you been bothered by feeling depressed about your skin condition"
95990-8,"During the past 1W, how often have you been bothered by the effects of your skin condition on your interactions with others"
95991-6,"During the past 1W, how often have you been bothered by the effects of your skin condition on your desire to be with people"
Feb-99,Borrelia burgdorferi 39kD Ab.IgM
95992-4,"During the past 1W, how often have you been bothered by your skin condition making it hard to show affection"
95993-2,"During the past 1W, how often have you been bothered by the effects of your skin condition on your daily activities"
95994-0,"During the past 1W, how often have you been bothered by your skin condition making it hard to work or do what you enjoy"
95995-7,"During the past 1W, how often have you been bothered by your skin condition hurting"
95996-5,Skindex-29
95997-3,Symptom score
95998-1,Emotion score
95999-9,Function score
96000-5,Total score
96001-3,"During the past 4W, my skin hurts"
96002-1,"During the past 4W, my skin condition affects how well I sleep"
96003-9,"During the past 4W, I worry that my skin condition may be serious"
96004-7,"During the past 4W, my skin condition makes it hard to work or do hobbies"
96005-4,"During the past 4W, my skin condition affects my social life"
96006-2,"During the past 4W, my skin condition makes me feel depressed"
96007-0,"During the past 4W, my skin condition burns or stings"
Aug-00,Taenia solium larva Ab
96008-8,"During the past 4W, I tend to stay at home because of my skin condition"
96009-6,"During the past 4W, I worry about getting scars from my skin condition"
96010-4,"During the past 4W, my skin itches"
96011-2,"During the past 4W, my skin condition affects how close I can be with those I love"
96012-0,"During the past 4W, I am ashamed of my skin condition"
96013-8,"During the past 4W, I worry that my skin condition may get worse"
96014-6,"During the past 4W, I tend to do things by myself because of my skin condition"
96015-3,"During the past 4W, my skin condition makes me tired"
Jun-01,Taenia solium larva 13kD Ab
96016-1,"During the past 4W, my skin condition interferes with my sex life"
96017-9,"During the past 4W, I am annoyed by my skin condition"
96018-7,"During the past 4W, my skin condition bleeds"
96019-5,"During the past 4W, I am humiliated by my skin condition"
96020-3,"During the past 4W, my skin condition affects my desire to be with people"
96021-1,"During the past 4W, my skin is sensitive"
96022-9,"During the past 4W, I am frustrated by my skin condition"
96023-7,"During the past 4W, my skin condition is a problem for the people I love"
Apr-02,Taenia solium larva 14kD Ab
96024-5,"During the past 4W, I am embarrassed by my skin condition"
96025-2,"During the past 4W, my skin condition affects my interactions with others"
96026-0,"During the past 4W, my skin is irritated"
96027-8,"During the past 4W, I worry about side-effects from skin medications or treatments"
96028-6,"During the past 4W, my skin condition makes showing affection difficult"
96029-4,"During the past 4W, water bothers my skin condition (bathing, washing hands)"
96030-2,"During the past 4W, I am angry about my skin condition"
96031-0,"During the past 1W, how often have you been bothered by symptoms of your skin problem"
Feb-03,Taenia solium larva 18kD Ab
96032-8,"During the past 1W, how often have you been emotionally bothered by your skin problem"
96033-6,"During the past 1W, how often have you been bothered by effects of your skin problem on your activities"
96034-4,Skindex mini
96035-1,Microscopic observation
96036-9,"Wound, ischemia, and foot infection classification system panel"
96037-7,Wound grade
96038-5,Ischemia grade
96039-3,Infection grade
9604-0,Taenia solium larva 21kD Ab
96040-1,WIfI classification
96041-9,Amputation risk
96042-7,Focus distance during near pupillary distance measurement
96043-5,Uracil
96044-3,Human epididymis protein 4
96045-0,Osmotic fragility^10% glucose 48H 37 deg C incubation
96046-8,B & T cell crossmatch panel
96047-6,T cell crossmatch
96048-4,T cell median channel shift
96049-2,B cell crossmatch
960-5,C super little w Ag
96050-0,B cell median channel shift
96051-8,Prism base direction measurement increment
96052-6,Additional power mode
96053-4,Sphere far
96054-2,Cylinder far
96055-9,Prism base direction
96056-7,Borrelia sp DNA
Jul-05,Taenia solium larva 24kD Ab
96057-5,Interferon.beta Ab.IgG
96058-3,Mitragynine
96059-1,Mitragynine
96060-9,Hematologic cancer
96061-7,HLA donor match status
96062-5,HEDIS Measurement Year 2020 Value Set - BMI percentile
96063-3,HEDIS Measurement Year 2020 Value Set - CT Colonography
96064-1,HEDIS Measurement Year 2020 Value Set - Diastolic Blood Pressure
May-06,Taenia solium larva 39-42kD Ab
96065-8,HEDIS Measurement Year 2020 Value Set - Mammography
96066-6,HEDIS Measurement Year 2020 Value Set - Systolic Blood Pressure
